"Municipio","Departamento","Lenguaje","Evaluados"
"MARIPI","BOYACÁ",45.35,84
"SOCOTA","BOYACÁ",45.34,59
"TURBACO","BOLÍVAR",45.34,655
"LA SIERRA","CAUCA",45.32,115
"BOLIVAR","VALLE",45.3,167
"SALAZAR","NORTE SANTANDER",45.3,101
"SAN ANTONIO","TOLIMA",45.3,160
"TOLEDO","NORTE SANTANDER",45.3,234
"EL ROSAL","CUNDINAMARCA",45.28,201
"COROZAL","SUCRE",45.26,770
"PANDI","CUNDINAMARCA",45.26,31
"SAN LUIS","TOLIMA",45.26,152
"SUCRE","CAUCA",45.26,42
"OBANDO","VALLE",45.25,116
"SUTATENZA","BOYACÁ",45.25,40
"TIPACOQUE","BOYACÁ",45.24,37
"ANZOATEGUI","TOLIMA",45.21,78
